v1300,,,,,,,,,,,,,,,,,,,,,,,,,,
商品ID,バリエーションID,削除設定 ※削除の場合のみ入力,カテゴリーID,【必須】商品名 ※49文字,商品名（レシート用） ※49文字 ・未設定の場合は商品名が印字されます。,商品名（商品入力用） ※49文字 ・未設定の場合は商品名が印字されます。,バリエーション（種別1） ※32文字,バリエーション（種別2） ※32文字,税設定 ※「外税」「内税」のいずれかを入力,適用税率 ※「標準税率」「軽減税率」「注文時に選択」「非課税」のいずれかを入力,税率別価格 ※適用税率が「注文時に選択」で税設定が「内税」の場合に「統一した価格を設定」「税率別に価格を設定」のいずれかを入力,価格設定 ※「通常」「部門打ち」「量り売り」のいずれかを入力,販売単位ID,【必須】価格 ※半角数字,価格2 ※税率別に価格を指定する場合に入力,原価 ※半角数字,商品コード ※24文字,自動発番（バーコード）※自動発番はJAN(EAN)コードで発番されます。,バーコード,ポイント付与対象 ※「対象」「対象外」のいずれかを入力,表示/非表示 ※「表示」「非表示」のいずれかを入力,レシート印字設定 ※「印字する」「印字しない」のいずれかを入力,登録番号印字設定 ※「印字する」「印字しない」のいずれかを入力,備考 ※1000文字,旧商品コード ※通常入力しません,分析タグID ※通常入力しません
,,,6,肉味噌ご飯,肉味噌ご飯,肉味噌ご飯,小,,内税,標準税率,,通常,,330,,,,,,対象,表示,印字する,印字する,,,
,,,6,肉味噌ご飯,肉味噌ご飯,肉味噌ご飯,中,,内税,標準税率,,通常,,510,,,,,,対象,表示,印字する,印字する,,,
,,,6,肉味噌ご飯,肉味噌ご飯,肉味噌ご飯,大,,内税,標準税率,,通常,,720,,,,,,対象,表示,印字する,印字する,,,
,,,6,シメご飯,シメご飯,シメご飯,ノーマル,,内税,標準税率,,通常,,240,,,,,,対象,表示,印字する,印字する,,,
,,,6,シメご飯,シメご飯,シメご飯,チーズ,,内税,標準税率,,通常,,370,,,,,,対象,表示,印字する,印字する,,,
,,,6,TKG,TKG,TKG,,,内税,標準税率,,通常,,330,,,,,,対象,表示,印字する,印字する,,,
,,,7,ポテサラ,ポテサラ,ポテサラ,,,内税,標準税率,,通常,,590,,,,,,対象,表示,印字する,印字する,,,
,,,7,おまかせ盛り合わせ,おまかせ盛り合わせ,おまかせ盛り合わせ,,,内税,標準税率,,通常,,1600,,,,,,対象,表示,印字する,印字する,,,
,,,7,季節の野菜盛合せ,季節の野菜盛合せ,季節の野菜盛合せ,,,内税,標準税率,,通常,,880,,,,,,対象,表示,印字する,印字する,,,
,,,7,ポテトフライ,ポテトフライ,ポテトフライ,,,内税,標準税率,,通常,,540,,,,,,対象,表示,印字する,印字する,,,
